,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
1596,1156,Araucania,1884,2020,Part of,155.0
1601,1161,Buenos Aires,1861,2020,Part of,160.0
1602,1162,Cordoba,1816,2020,Part of,160.0
1604,1163,Falkland Is.,1833,2020,Colony of,200.0
1606,1164,South Georgia,1843,1985,Part of,1163.0
1612,1166,San Juan,1821,2020,Part of,160.0
1614,1167,Corrientes,1820,2020,Part of,160.0
1621,1168,Martin Garcia I.,1859,2020,Part of,160.0
1622,1201,Inini,1816,1930,Part of,120.0
1627,1301,Galapagos Is.,1832,2020,Part of,130.0
1631,1352,Chincha Is.,1865,2020,Part of,135.0
1633,1401,Rio Grande do Sul,1835,2020,Part of,140.0
1636,1407,Acre,1903,2020,Part of,140.0
1637,1408,St. Paul's Rocks,1816,1942,Discovered,
1641,1409,Trindade Island,1895,2020,Possession of,140.0
1642,2001,Rockall I.,1816,1955,Discovered,
1645,2002,Lundy,1816,2020,Part of,200.0
1652,2201,Alsace Lorraine,1871,1918,Part of,255.0
1656,2221,Roquebrune and Menton,1860,2020,Part of,220.0
1659,2246,Lauenburg,1867,1945,Part of,255.0
1662,2247,Schleswig,1867,2020,Part of,2555.0
1665,2248,Holstein,1867,2020,Part of,2555.0
1667,2249,Heligoland,1890,1945,Part of,255.0
1668,2251,Neuchatel,1816,2020,Part of,225.0
1673,2292,Cracow,1867,1918,Part of,300.0
1675,2311,Spain-Gibraltar Neutral Zone,1909,2020,Neutral or demilitarized zone of,230.0
1676,2311,Spain-Gibraltar Neutral Zone,1909,2020,Neutral or demilitarized zone of,200.0
1677,2333,Ile des Faisans,1816,2020,Neutral or demilitarized zone of,220.0
1678,2333,Ile des Faisans,1816,2020,Neutral or demilitarized zone of,230.0
1680,2481,Bergedorf,1867,1945,Part of,255.0
1681,2482,Schleswig Plebiscite Zone,1867,1920,Part of,2555.0
1686,2551,Allenstein Plebiscite Zone,1871,1920,Part of,255.0
1690,2552,Marienwerder Plebiscite Zone,1871,1920,Part of,255.0
1694,2553,Silesia Plebiscite Zone,1871,1921,Part of,255.0
1698,2554,Brandenburg,1816,1947,Part of,239.0
1703,2555,Schleswig-Holstein,1867,1945,Part of,239.0
1708,2556,Rhineland,1871,1919,Part of,255.0
1711,2557,Ruhr,1871,1923,Part of,255.0
1720,2601,Berlin (West Berlin),1871,1945,Part of,255.0
1740,3051,Klagenfurt Plebiscite Zone,1816,1918,Part of,300.0
1745,3052,Vorarlberg,1867,1918,Part of,300.0
1748,3053,Tyrol,1867,1918,Part of,300.0
1760,3271,Ancona,1861,2020,Part of,325.0
1763,3291,Sicily,1861,2020,Part of,325.0
1769,3326,Venezia-Giulia,1867,1918,Part of,300.0
1774,3327,"S.M.O.M. (Sovereign & Military Order of Jerusalem, Rhodes and Malta)",1822,2020,Sovereign (unrecognized),
1783,3343,Fiume,1867,1918,Part of,300.0
1790,3346,Zadar (Zara),1867,1918,Part of,300.0
1796,3349,Ionian Is.,1864,1941,Part of,350.0
1801,3351,Corfu,1864,1923,Part of,350.0
1812,3353,Dodecanese Is. (Aegean Is.),1912,1923,Occupied by,325.0
1817,3354,Janina,1828,2020,Part of,350.0
1818,3355,Akrotiri and Dhekelia (British Bases in Cyprus),1816,1960,Part of,352.0
1820,3356,Castellorizo,1816,1915,Part of,640.0
1829,3361,Moldavia,1859,2020,Part of,360.0
1835,3362,Wallachia,1859,2020,Part of,360.0
1836,3363,Memel,1816,1919,Part of,239.0
1842,3364,North Ingria,1816,1919,Part of,365.0
1846,3374,Batum,1878,1918,Part of,365.0
1850,3375,Daghestan,1816,1917,Part of,365.0
1853,3376,Nakhichevan,1816,1990,Part of,365.0
1857,3378,Porkkala,1816,1917,Part of,365.0
1863,3379,Aland Is.,1854,1917,Part of,365.0
1869,3380,Hangö,1816,1917,Part of,365.0
1874,3381,Elba,1861,1944,Part of,325.0
1877,3386,Svalbard Is.,1816,1925,Discovered,
1879,3387,Jan Mayen Is.,1816,1921,Discovered,
1885,3461,Bosnia,1816,2020,Part of,640.0
1886,3462,Herzegovina,1816,2020,Part of,640.0
1891,3471,Novi Pazar,1913,2020,Part of,345.0
1894,3481,Brda,1855,1918,Part of,341.0
1896,3501,Western Thrace,1816,1919,Part of,640.0
1900,3502,Mount Athos,1913,2020,Dependency of,350.0
1903,3503,New Greece,1913,2020,Part of,350.0
1908,3504,Samos,1913,2020,Part of,350.0
1912,3505,Lemnos,1913,2020,Part of,350.0
1913,3521,UN Buffer Zone in Cyprus,1878,1974,Part of,352.0
1916,3551,Eastern Rumelia,1885,2020,Part of,355.0
1919,3592,Gagauzia,1816,1994,Part of,359.0
1926,3652,Altai Republic,1864,1991,Part of,365.0
1928,3653,Bashkir Republic,1816,1992,Part of,365.0
1930,3654,Buryatia,1816,1923,Colony of,365.0
1933,3655,Karelia Republic,1816,1941,Part of,365.0
1938,3691,Western Ukraine,1867,1918,Part of,300.0
1942,3692,Northeren Russia,1816,1918,Part of,365.0
1945,3693,Republic of the Don,1816,1918,Part of,365.0
1947,3694,Odessa,1816,1918,Part of,365.0
1951,3695,Crimea,1816,1954,Part of,365.0
1956,3696,Novorossiya,1829,1917,Part of,365.0
1959,3697,Donetsk,1816,1918,Part of,365.0
1962,3698,Luhansk,1816,1918,Part of,365.0
1965,3712,Artsakh (Republic of Karabakh),1816,1918,Part of,365.0
1972,3721,Abkhazia,1864,1918,Part of,365.0
1975,3722,South Ossetia,1816,1918,Part of,365.0
1979,3723,Adjara,1878,1918,Part of,365.0
1985,3761,Chechen Republic,1859,1917,Part of,365.0
1990,3762,"Ingushetia, Republic of",1816,1917,Colony of,365.0
1996,3805,Sweden-Norway Neutral Zone,1905,2020,Neutral or demilitarized zone of,380.0
1997,3901,Bornholm I.,1816,2020,Part of,390.0
1999,4031,Principe,1816,1995,Part of,403.0
