,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
413,2601.0,Berlin (West Berlin),1871,1945.0,Part of,255.0
414,3051.0,Klagenfurt Plebiscite Zone,1816,1918.0,Part of,300.0
415,3052.0,Vorarlberg,1867,1918.0,Part of,300.0
416,3053.0,Tyrol,1867,1918.0,Part of,300.0
417,3271.0,Ancona,1861,2020.0,Part of,325.0
418,3291.0,Sicily,1861,2020.0,Part of,325.0
419,3326.0,Venezia-Giulia,1867,1918.0,Part of,300.0
420,3327.0,"S.M.O.M. (Sovereign & Military Order of Jerusalem, Rhodes and Malta)",1822,2020.0,Sovereign (unrecognized),
421,3343.0,Fiume,1867,1918.0,Part of,300.0
422,3346.0,Zadar (Zara),1867,1918.0,Part of,300.0
423,3349.0,Ionian Is.,1864,1941.0,Part of,350.0
424,3351.0,Corfu,1864,1923.0,Part of,350.0
425,3353.0,Dodecanese Is. (Aegean Is.),1912,1923.0,Occupied by,325.0
426,3354.0,Janina,1828,2020.0,Part of,350.0
427,3355.0,Akrotiri and Dhekelia (British Bases in Cyprus),1816,1960.0,Part of,352.0
428,3356.0,Castellorizo,1816,1915.0,Part of,640.0
429,3361.0,Moldavia,1859,2020.0,Part of,360.0
430,3362.0,Wallachia,1859,2020.0,Part of,360.0
431,3363.0,Memel,1816,1919.0,Part of,239.0
432,3364.0,North Ingria,1816,1919.0,Part of,365.0
433,3374.0,Batum,1878,1918.0,Part of,365.0
434,3375.0,Daghestan,1816,1917.0,Part of,365.0
